,Value,Active bound,Rob. Std err,Rob. t-test,Rob. p-value
b_MALE_constant_32_0,0.3126293669452105,0.0,0.08813332443340974,3.5472322070571796,0.00038930130077785563
b_PURPOSE_1_constant_22_0,0.17457848150576635,0.0,0.18448009884676303,0.9463269078730201,0.34398187312171213
b_PURPOSE_1_constant_34_0,2.012107579458983,0.0,0.4683696385124192,4.295982091942602,1.7392162338980555e-05
b_PURPOSE_2_constant_35_0,1.7745327846962489,0.0,0.457184855074866,3.881433877344125,0.00010384238761473874
b_PURPOSE_3_constant_24_0,-0.2421758498733349,0.0,0.15746416972613403,-1.5379743232668976,0.12405489303531714
b_PURPOSE_3_constant_36_0,2.503574115776462,0.0,0.4548655939046939,5.503986560700446,3.712978657866017e-08
b_PURPOSE_4_constant_25_0,0.34974417384252177,0.0,0.21114159255843717,1.6564437617648635,0.09763198504285575
b_PURPOSE_4_constant_37_0,3.751363046494673,0.0,0.4758506723626212,7.883487960348941,3.1086244689504383e-15
b_SM_COST_constant_15_1,-0.3322357407541432,0.0,0.21599976562799023,-1.5381300983740076,0.12401680806619164
b_SM_COST_constant_15_10,-1.7077288489422546,0.0,0.3397725800122339,-5.026093773902431,5.005711860572859e-07
b_SM_COST_constant_15_11,-1.8117952235503287,0.0,0.2437835950617924,-7.431981725805171,1.0702549957386509e-13
b_SM_COST_constant_15_12,-2.014677585556641,0.0,0.23150829731205086,-8.702399045512609,0.0
b_SM_COST_constant_15_13,-2.2310760894326065,0.0,0.2385778647059387,-9.351563659028216,0.0
b_SM_COST_constant_15_14,-2.3845297360910607,0.0,0.177656024164259,-13.422172129025855,0.0
b_SM_COST_constant_15_15,-2.5853275833039335,0.0,0.18227333513537525,-14.183794801273587,0.0
b_SM_COST_constant_15_16,-2.812751120690588,0.0,0.19070427846700835,-14.7492816799975,0.0
b_SM_COST_constant_15_17,-2.507150888562379,0.0,0.2847032274673898,-8.806190610710765,0.0
b_SM_COST_constant_15_18,-3.3453714817011964,0.0,0.4374453429335713,-7.647518794614785,2.042810365310288e-14
b_SM_COST_constant_15_19,-3.0099789651453683,0.0,0.20146762222205036,-14.940261526628223,0.0
b_SM_COST_constant_15_2,-0.5797762991358446,0.0,0.19758558350397104,-2.9343046636000767,0.003342958971409571
b_SM_COST_constant_15_20,-3.0083253356856625,0.0,1.2183568412235064,-2.469166038961641,0.013542836345004305
b_SM_COST_constant_15_21,-3.5152409948812418,0.0,0.31777903683969444,-11.061903358510481,0.0
b_SM_COST_constant_15_22,-3.7245341317225336,0.0,0.18589110085319094,-20.036107778306267,0.0
b_SM_COST_constant_15_3,-0.7119694788121042,0.0,0.22017854874833473,-3.233600561269432,0.0012224029213681042
