,Value,Active bound,Rob. Std err,Rob. t-test,Rob. p-value
b_TRAIN_TT_linear_3_17,-0.3054563445877653,0.0,356.72184273465024,-0.0008562871907313535,0.9993167817543946
b_TRAIN_TT_linear_3_18,-0.3008057920603764,0.0,1018.0877654584365,-0.0002954615527914983,0.9997642557921469
b_TRAIN_TT_linear_3_19,-0.28836708821378065,0.0,1147.1508353441961,-0.0002513767844027745,0.9997994303468931
b_TRAIN_TT_linear_3_2,-0.3687926883185459,0.0,380.4138082090319,-0.0009694513720592908,0.9992264898389469
b_TRAIN_TT_linear_3_20,-0.28411978422551964,0.0,205.0402951321383,-0.001385677795881139,0.9988943894342335
b_TRAIN_TT_linear_3_21,-0.28257672827373864,0.0,464.739580598586,-0.0006080324122808283,0.9995148603556663
b_TRAIN_TT_linear_3_22,-0.2787436499701848,0.0,298.3344484193076,-0.0009343327646105823,0.9992545104209309
b_TRAIN_TT_linear_3_23,-0.2659535391998185,0.0,137.27961849553728,-0.0019373126332549082,0.9984542491273913
b_TRAIN_TT_linear_3_24,-0.2616538161740123,0.0,151.3144447405365,-0.001729205804658492,0.9986202940736009
b_TRAIN_TT_linear_3_25,-0.2590835529967295,0.0,402.1801566594126,-0.0006441977524419116,0.9994860045947733
b_TRAIN_TT_linear_3_26,-0.25365621622987716,0.0,460.9653655597583,-0.0005502717453009902,0.9995609466923359
b_TRAIN_TT_linear_3_27,-0.25091482664055353,0.0,420.92962300041876,-0.0005960968602114846,0.9995243835466612
b_TRAIN_TT_linear_3_28,-0.24767812584338825,0.0,346.8584613784823,-0.0007140610751113515,0.999430261741115
b_TRAIN_TT_linear_3_29,-0.24216175147215108,0.0,908.3629227902208,-0.0002665914090023646,0.9997872908332339
b_TRAIN_TT_linear_3_3,-0.36649804958928517,0.0,0.0010355195078088127,-353.92674577884577,0.0
b_TRAIN_TT_linear_3_30,-0.2261820686312917,0.0,870.0876836025958,-0.00025995318965415696,0.9997925873657796
b_TRAIN_TT_linear_3_31,-0.21647544289528547,0.0,972.3683087626645,-0.00022262700351757635,0.9998223693525428
b_TRAIN_TT_linear_3_32,-0.20932655028088554,0.0,448.88920752629025,-0.0004663211918914888,0.9996279295340993
b_TRAIN_TT_linear_3_33,-0.20186437541752358,0.0,322.47878072699757,-0.0006259772347266994,0.9995005424616161
b_TRAIN_TT_linear_3_34,-0.19605235226372017,0.0,1721.4568112949535,-0.00011388746495257189,0.9999091309502417
b_TRAIN_TT_linear_3_35,-0.17799006878412654,0.0,1548.5767787523769,-0.00011493783919937483,0.9999082928728527
b_TRAIN_TT_linear_3_36,-0.16814328313605498,0.0,120.88711853573724,-0.0013909114980381275,0.9988902135481108
b_TRAIN_TT_linear_3_37,-0.15587368466898255,0.0,104.53799928949847,-0.0014910720094931172,0.9988102971054238
b_TRAIN_TT_linear_3_38,-0.13369996480164906,0.0,40.24812912800904,-0.0033218926618034036,0.997349518007169
b_TRAIN_TT_linear_3_39,-0.1311827988397734,0.0,302.60479223459066,-0.00043351196744457224,0.9996541075050869
b_TRAIN_TT_linear_3_4,-0.36469477735826306,0.0,716.0882312354388,-0.0005092874892372823,0.9995936473928937
b_TRAIN_TT_linear_3_40,-0.12908973427654474,0.0,854.2820066771982,-0.00015110904041939281,0.9998794324301106
b_TRAIN_TT_linear_3_41,-0.11764355598203569,0.0,681.7905375749435,-0.0001725508781633745,0.9998623243190436
b_TRAIN_TT_linear_3_42,-0.1066625608438324,0.0,1164.0722154466002,-9.162881772151132e-05,0.9999268907811176
b_TRAIN_TT_linear_3_43,-0.09033890553325931,0.0,263.1609182549503,-0.00034328389691108685,0.999726099084062
b_TRAIN_TT_linear_3_44,-0.07344914590001343,0.0,220.19512108249924,-0.0003335639115841021,0.9997338545098415
b_TRAIN_TT_linear_3_45,-0.0701547399304758,0.0,1597.9046283122045,-4.390420973032485e-05,0.9999649695089132
b_TRAIN_TT_linear_3_46,-0.06168132172617653,0.0,220.71458828020235,-0.0002794619159829646,0.9997770216548072
b_TRAIN_TT_linear_3_47,-0.0569760729033577,0.0,432.98511306937877,-0.00013158898812816276,0.9998950071783039
b_TRAIN_TT_linear_3_48,-0.051939788856558984,0.0,219.42236620753582,-0.00023671146088832565,0.9998111315817559
b_TRAIN_TT_linear_3_49,-0.047285650515327786,0.0,306.2889496014477,-0.0001543824894004739,0.9998768205957385
b_TRAIN_TT_linear_3_5,-0.3604075060945899,0.0,1017.4743600404081,-0.000354217777124405,0.9997173751103807
b_TRAIN_TT_linear_3_50,-0.03464177757045419,0.0,192.96778130081006,-0.00017952104406720857,0.9998567629313688
b_TRAIN_TT_linear_3_51,-0.014252400790122504,0.0,61.07228479051723,-0.00023336937268696214,0.999813798182259
b_TRAIN_TT_linear_3_52,-0.012578506152219318,0.0,36.68570348284726,-0.0003428721534016791,0.9997264276078319
b_TRAIN_TT_linear_3_53,-0.015379534953688847,0.0,108.37405539729335,-0.00014191159403704434,0.999886770930499
b_TRAIN_TT_linear_3_54,-0.04636020606256908,0.0,1.9808035362763319,-0.023404747221786867,0.9813274183090939
b_TRAIN_TT_linear_3_6,-0.3559428727769035,0.0,315.77153319871536,-0.001127216469360803,0.9991006115728773
b_TRAIN_TT_linear_3_7,-0.355012966570186,0.0,476.0939746893165,-0.0007456783438644775,0.9994050348172425
b_TRAIN_TT_linear_3_8,-0.35348394985034537,0.0,732.040103710436,-0.000482875115801263,0.9996147214152789
b_TRAIN_TT_linear_3_9,-0.3382458518440904,0.0,456.6069508679735,-0.0007407812150058424,0.9994089421596719
delta_CAR_CO_constant_29_1,-0.5853458086598361,0.0,0.3452015108844845,-1.6956640982249687,0.08994951128505813
delta_CAR_CO_constant_29_10,-0.113513816271,0.0,0.35634214914243095,-0.31855287549951944,0.7500655929325153
delta_CAR_CO_constant_29_11,-0.12297604186244088,0.0,0.4373483064529464,-0.2811855906332901,0.7785680560089061
delta_CAR_CO_constant_29_12,-0.18182322330784606,0.0,0.4702461836347141,-0.3866553937821765,0.6990113430446028
delta_CAR_CO_constant_29_13,-0.16578023301611136,0.0,0.4765822658737814,-0.3478522909621165,0.7279511165285406
delta_CAR_CO_constant_29_14,-0.379224222467495,0.0,2.5959637169976943,-0.14608225068186953,0.8838564580015913
delta_CAR_CO_constant_29_2,-0.15657814641936102,0.0,0.298295521975009,-0.5249094769598285,0.5996461210202502
